class;maximumDIT;minimumDIT;fileType;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/onOptionsItemSelected/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/onOptionsItemSelected/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/registerExternalStorageListener/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/renameContextMenuDeckDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/repairDeck/;3;3;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/selectDeck/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/showExportCompleteDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/showExportCompleteDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/showLogDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/showSdCardNotMountedDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/DeckPicker.java/DeckPicker/showSdCardNotMountedDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs;1;2;2;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java;1;2;1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/DatabaseErrorDialogListener;1;1;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
/AnkiDroid/src/com/ichi2/anki/dialogs/DatabaseErrorDialog.java/DatabaseErrorDialog/onCreateDialog/;2;2;-1;;;;
